 A(v)	f(hz)	 sens	ctime	delay(ms)
  1.1	    1	   25	   11	 8000
  1.1	    2	   25	   11	 8000
  1.1	    4	   25	   10	 8000
  1.1	    6	   25	   10	 8000
  1.1	    8	   25	   10	 8000
  1.1	   10	   25	    9	 8000
  1.1	   20	   25	    9	 8000
  1.1	   30	   25	    8	 8000
  1.1	   40	   25	    8	 8000
  1.1	   50	   25	    8	 8000
  1.1	   60	   25	    8	 8000
  1.1	   70	   25	    8	 8000
  1.1	   80	   25	    8	 8000
  1.1	   90	   25	    8	 8000
  1.1	  100	   25	    7	 8000
  1.1	  150	   25	    7	 8000
  1.1	  200	   25	    7	 8000
  1.1	  250	   25	    7	 8000
  1.1	  300	   25	    7	 8000
  1.1	  400	   20	    6	 8000
  1.1	  500	   20	    6	 8000
  1.1	  600	   20	    6	 8000
  1.1	  700	   20	    6	 8000
  1.1	  800	   20	    6	 8000
  1.1	  900	   20	    6	 8000
  1.1	 1000	   20	    5	 8000
  1.1	 1100	   20	    5	 8000
  1.1	 1200	   20	    5	 8000
  1.1	 1300	   20	    5	 8000
  1.1	 1400	   20	    5	 8000
  1.1	 1500	   20	    5	 8000
  1.1	 2000	   20	    5	 8000
  1.1	 3000	   20	    4	 8000
  1.1	 4000	   20	    4	 8000
  1.1	 5000	   20	    4	 8000
  1.1	 6000	   20	    4	 8000
  1.1	 7000	   20	    4	 8000
  1.1	 8000	   20	    4	 8000
  1.1	 9000	   20	    4	 8000
  1.1	1e+04	   20	    3	 8000
  1.1	  NaN	   20	    3	 8000
  1.1	2e+04	   20	    3	 8000
  1.1	  NaN	   20	    3	 8000
  1.1	3e+04	   20	    3	 8000
  1.1	  NaN	   20	    2	 8000
  1.1	4e+04	   20	    2	 8000
  1.1	5e+04	   20	    2	 8000
  1.1	6e+04	   20	    2	 8000
  1.1	7e+04	   20	    2	 8000
  1.1	8e+04	   20	    2	 8000

Amplitude in mV	 Phase in Grad
             1
        0.6714	      335.8980
        0.8240	      321.3420
        0.9766	      284.7420
        0.9766	      274.7640
        1.0376	      264.6420
        0.9460	      260.0520
        1.0071	      245.9400
        1.0071	      239.6760
        1.0071	      236.8200
        1.0376	      236.0580
        1.0071	      234.2460
        1.0071	      234.2460
        1.0071	      234.2460
        0.9766	      232.3740
        1.0071	      234.2460
        0.9766	      237.3780
        0.9460	      237.6780
        0.9155	      241.1460
        0.9155	      243.9060
        0.9542	      246.5820
        0.8683	      247.3800
        0.8631	      247.3440
        0.8216	      246.6420
        0.7706	      248.1540
        0.8369	      249.7800
        0.8774	      248.4540
        0.9608	      247.1580
        0.9003	      248.1360
        0.9446	      245.1840
        0.9098	      244.6020
        0.9441	      243.3960
        0.9866	      238.1040
        0.8879	      224.6700
        0.9718	      220.5180
        0.9942	      205.9980
        0.9976	      189.8400
        0.8969	      180.3480
        0.8354	      168.0600
        1.0133	      145.4160
        1.2670	      146.5260
        1.3018	      145.4880
        0.4473	      164.1360
        0.4082	      164.4000
        0.8454	      187.1640
        0.4458	      292.6320
        0.9427	      181.2120
        0.5817	      141.9900
        0.6108	      139.9740
        0.5503	      138.6900
        0.5374	      144.4560
             2
        0.6714	      337.6920
        0.8545	      320.4780
        1.0071	      285.1740
        1.0071	      276.5460
        1.0376	      265.4640
        0.9766	      259.4400
        1.0071	      245.0940
        1.0071	      240.4860
        1.0376	      237.8040
        1.0071	      236.0580
        1.0071	      234.0420
        1.0071	      233.4960
        1.0071	      233.4960
        1.0071	      234.2460
        1.0071	      233.4960
        0.9766	      236.8500
        0.9460	      238.5240
        0.9155	      241.1460
        0.9155	      242.9700
        0.8712	      248.7180
        0.8640	      247.0620
        0.7672	      248.8320
        0.7620	      248.3280
        0.8016	      245.0160
        0.8411	      250.0740
        0.8659	      249.1680
        0.8316	      249.3060
        0.9475	      246.1320
        0.9518	      246.4740
        0.8616	      246.7080
        0.9327	      239.2140
        0.9918	      240.1860
        1.0829	      229.8540
        1.0600	      219.8400
        0.9909	      199.3800
        1.1258	      197.7360
        1.0209	      179.2560
        1.0018	      171.5880
        0.6552	      168.0060
        1.0862	      145.7220
        0.1903	      158.8320
        0.3810	      122.6100
        0.5088	      137.1480
        0.6843	      206.5800
        1.3075	      125.9040
        1.0161	      135.4200
        0.5779	      136.3080
        0.6042	      132.4560
        0.4711	      137.4900
        0.5150	      133.4520
             3
        0.7019	      341.1480
        0.8545	      320.4780
        1.0376	      286.4400
        0.9766	      274.7640
        1.0071	      264.3840
        0.9766	      259.4400
        1.0376	      245.4780
        0.9766	      239.5320
        1.0376	      241.4580
        1.0376	      240.1380
        1.0071	      234.7800
        1.0071	      234.2460
        1.0071	      233.4960
        1.0071	      233.4960
        1.0071	      234.2460
        0.9460	      236.8500
        0.9460	      238.5240
        0.9155	      241.1460
        0.9155	      243.9060
        0.9036	      249.2700
        0.8683	      246.9420
        0.8349	      247.5540
        0.8049	      243.7620
        0.7892	      247.0380
        0.8426	      247.2840
        0.8912	      248.9760
        0.8888	      246.0540
        0.9713	      247.5060
        0.9222	      245.2680
        0.9308	      246.2940
        0.8946	      241.1580
        0.9985	      240.9780
        1.1048	      224.5500
        0.9317	      211.7040
        1.1139	      199.2300
        1.0252	      193.8960
        0.8292	      188.9220
        0.9222	      173.2200
        0.9222	      170.2500
        1.0266	      150.9840
        1.1930	      184.8300
        0.4416	      147.1260
        0.4363	      167.0280
        0.4082	      202.3500
        0.9222	      159.3120
        0.5703	      147.8700
        0.6375	      147.1020
        0.5512	      149.7660
        0.5193	      135.5100
        0.5407	      142.7700
             4
        0.7324	      342.8040
        0.8240	      319.7640
        1.0376	      287.5740
        0.9766	      274.7640
        1.0376	      262.6500
        0.9766	      259.4400
        1.0071	      244.6980
        1.0071	      239.6760
        1.0071	      240.0180
        1.0376	      236.0580
        1.0071	      234.7800
        0.9766	      235.0080
        0.9766	      233.1300
        1.0071	      233.4960
        1.0071	      234.5640
        0.9460	      236.3100
        0.9460	      237.6780
        0.9155	      241.1460
        0.9155	      242.9700
        0.8245	      246.8700
        0.8669	      247.4880
        0.8502	      247.0140
        0.8287	      246.5460
        0.8106	      245.9880
        0.8578	      249.9180
        0.8354	      247.7880
        0.7949	      249.5220
        1.0252	      246.1500
        0.9046	      243.3840
        0.9246	      245.9280
        0.9289	      244.7520
        0.9642	      235.6980
        0.8531	      230.2560
        0.9885	      211.7100
        0.9699	      203.2380
        0.8922	      194.0100
        0.9642	      187.4520
        0.9046	      170.0880
        0.8769	      146.1900
        1.2460	      124.9440
        0.7353	      280.9620
        0.4902	      170.5020
        0.3724	      166.8900
        0.7019	      130.2420
        2.1062	      150.6180
        0.7167	      152.5080
        0.7439	      139.9320
        0.4969	      136.5360
        0.6042	      141.2880
        0.4725	      147.2760
             5
        0.7324	      344.4060
        0.8545	      318.9180
        1.0071	      286.9680
