Date,Time,Ms,Category,Tag,State,Message,Value,Info,AdditionalMessage,AdditionalValue,AdditionalInfo,Else
2026-09-15,11:22:36,009,KOM_Test,COMMAND,T,status SR830,ready,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,013,KOM_Test,COMMAND,T,status OSTECH,"{'status': {'lc_error': False}, 'serial': 8661}",result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,013,KOM_Test,COMMAND,T,query OSTECH LMDX,False,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,013,KOM_Test,COMMAND,T,query OSTECH L,False,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,013,KOM_Test,SR830,T,"SNAP 1,2,3,4,10,11",ready,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,013,KOM_Test,OSTECH,T,LCT,False,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,018,KOM_Test,SR830,T,"SNAP 5,6,7,8,9",ready,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,018,KOM_Test,OSTECH,T,XTA,False,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,018,KOM_Test,SR830,T,PHAS,ready,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,018,KOM_Test,OSTECH,T,LVA,False,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,028,KOM_Test,SR830,T,FREQ,ready,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,029,KOM_Test,OSTECH,T,XTCA,False,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,043,KOM_Test,OSTECH,T,XTVA,False,result,Kommunikations-Test fuer SR830 und OSTECH,,,
2026-09-15,11:22:36,045,KOM_Test,OSTECH,T,LCA,False,result,Kommunikations-Test fuer SR830 und OSTECH,,,
